country_code,country_name,GDP,population
USA,United States,18295.019,333.287557
CHN,China,11061.572618579,1412.175
JPN,Japan,4444.930651964,125.124989
AUS,Australia,1351.768945139,25.978935
FRA,France,2439.188643163,67.93566
NLD,Netherlands,765.572770634,17.70309
GBR,United Kingdom,2927.911140917,66.971411
KOR,"Korea, Rep.",1466.038936206,51.628117
ITA,Italy,1836.637711061,58.856847
DEU,Germany,3357.585719352,84.079811
NZL,New Zealand,178.104220785,5.1241
CAN,Canada,1556.508816217,38.929902
UZB,Uzbekistan,86.196264755,35.6481
HUN,Hungary,125.174166987,9.683505
ESP,Spain,1196.15697128,47.615034
SWE,Sweden,505.10378135,10.486941
KEN,Kenya,70.120446897,54.027487
NOR,Norway,388.159512246,5.457127
IRL,Ireland,292.364226872,5.086988
BRA,Brazil,1802.212206905,215.313498
IRN,Iran (Islamic Republic),408.212917875,88.55057
UKR,Ukraine,91.030967789,38
ROU,Romania,177.883883009,18.956666
GEO,Georgia,15.223796149,3.712502
SRB,Serbia,39.655949731,6.760087
BGR,Bulgaria,50.811995689,6.465097
CZE,Czechia,188.03305046,10.526073
DNK,Denmark,302.673070847,5.903037
AZE,Azerbaijan,53.076235355,10.175016
HRV,Croatia,51.011170112,3.854
CUB,Cuba,87.1328,11.212191
BEL,Belgium,462.335574841,11.669446
BRN,Brunei Darussalam,12.930291488,0.449002
SVN,Slovenia,43.107506024,2.108732
TWN,Taiwan,791.61,23.57
AUT,Austria,381.971148531,9.042528
HKG,Hong Kong,309.385622601,7.3461
PHL,Philippines,306.445871247,115.559009
DZA,Algeria,187.493855609,44.903225
IDN,Indonesia,860.854232686,275.501339
POL,Poland,477.111287969,37.561599
ISR,Israel,303.414276832,9.5506
KAZ,Kazakhstan,184.388404706,19.621972
JAM,Jamaica,14.188936918,2.827377
ZAF,South Africa,346.709790459,59.893885
THA,Thailand,401.296238228,71.69703
ETH,Ethiopia,64.589328551,123.379924
CHE,Switzerland,694.11818638,8.769741
ECU,Ecuador,97.209558,18.001
PRT,Portugal,199.394066525,10.379007
GRC,Greece,195.683527003,10.566531
ARG,Argentina,594.749285413,46.23483
EGY,Egypt,329.366576819,110.990103
TUN,Tunisia,45.779494042,12.356117
BWA,Botswana,13.530748845,2.630296
LCA,St. Lucia,1.807640741,0.179857
UGA,Uganda,32.38718373,47.249585
DOM,Dominican Republic,71.164826837,11.228821
GUM,Guam,5.799,0.171774
MAR,Morocco,110.413823842,37.457971
DMA,Dominica,0.540737037,0.072737
PAK,Pakistan,299.963590535,235.824862
TUR,Turkiye,864.313810469,85.341241
MEX,Mexico,1213.294467717,127.504125
ARM,Armenia,10.553337518,2.780469
COL,Colombia,293.492370193,51.874024
KGZ,Kyrgyz Republic,6.678177512,6.8033
PRK,"Korea, Dem. People's Rep.",NA,26.069416
LTU,Lithuania,41.43553334,2.833
IND,India,2103.588360044,1417.173173
MDA,Moldova,7.797667197,2.592477
CYP,Cyprus,19.909269064,1.251488
FJI,Fiji,4.682479894,0.929766
JOR,Jordan,38.587017887,11.285869
MNG,Mongolia,11.619892591,3.398366
PAN,Panama,54.0918,4.408581
TJK,Tajikistan,8.271431485,9.952787
ALB,Albania,11.386853113,2.775634
GRL,Greenland,2.499113023,0.056661
MYS,Malaysia,301.355266965,33.938221
PRI,Puerto Rico,103.3755,3.221789
CIV,Cote d'Ivoire,45.815005169,28.160542
CPV,Cabo Verde,1.74985762,0.593149
PER,Peru,189.802976286,34.049588
QAT,Qatar,161.739955577,2.695122
SGP,Singapore,307.998545269,5.637022
SVK,Slovak Republic,88.900883131,5.431752
ZMB,Zambia,21.251216799,20.017675
